G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,C
475.27885,552.65875,369.92125,471.16731,624.42625,661.33125,509.93125,389.765,155.8575,309.49375,75.95,68.84125,87.71,-1
1648.4596,2314.9488,237.29625,1712.2096,1342.9675,442.42625,567.9325,1779.9875,137.17625,1644.4262,23.74,79.775,53.1475,1
209.21923,137.97125,123.11,196.43654,338.46,59.20625,233.41625,164.7325,56.79375,333.625,306.30875,41.92,20.735,-1
576.64038,987.79875,134.665,597.73846,660.61,204.94875,371.0075,723.40125,48.6775,973.16875,35.95875,26.75375,27.58,1
464.30962,584.7325,350.57375,434.2,147.90625,1146.7775,260.4375,361.3125,389.0875,124.02,391.355,165.44625,129.9575,-1
1453.3442,2030.8775,324.95875,1472.2481,387.2425,203.1225,148.39125,1386.8225,71.19,325.045,33.9725,38.74875,56.0275,1
214.58269,228.28625,278.4775,199.05192,149.5225,687.79125,609.71,154.055,147.7775,126.43,2076.9025,99.9575,79.39125,-1
1849.6173,3886.9925,223.875,1731.3596,598.4975,278.695,132.45625,1781.3175,87.1575,541.5325,56.91875,21.04625,45.74625,1
503.65192,404.31875,576.17625,519.25385,170.11375,2032.7762,1045.9812,380.5975,1585.9338,183.70625,599.6975,518.665,161.76375,-1
2510.9846,4322.8788,369.87,2551.8288,906.42875,299.5,130.685,2514.7675,165.18375,774.27875,28.7675,62.56625,63.8525,1
334.96538,416.17125,653.08875,353.28077,365.39375,2464.7375,1744.465,333.17875,1732.6262,61.53,175.55125,339.30875,326.6675,-1
2679.8904,3552.9838,364.39,2593.2885,1747.855,435.9775,1088.2562,3321.1488,182.10875,2221.7513,45.1,87.955,68.18125,1
528.86346,632.74625,289.05625,575.875,304.48875,680.16625,481.275,494.2475,359.0525,244.7375,120.72,121.035,152.88,-1
1422.4827,1872.4913,179.60625,1483.9827,1231.1062,264.7625,157.02625,1491.0462,112.8125,1236.2988,11.37625,37.64125,32.1125,1
633.22308,636.02375,564.07875,660.15,449.80375,782.87125,241.5525,543.47,373.41,282.3775,93.3575,102.17125,153.99625,-1
608.62692,183.62125,369.72375,548.63077,418.39875,433.1075,75.7975,314.3525,74.49,277.54375,28.00875,9.78375,61.59875,1
194.14808,185.3225,375.3875,199.36923,193.85,536.49375,525.02375,111.71,304.91875,49.02125,148.04125,124.3925,61.74,-1
373.1,412.0725,218.82125,378.26538,620.47125,180.935,138.56125,258.2675,42.74875,89.84,39.7575,31.6275,11.85625,1
179.11923,230.69125,442.92625,155.81154,228.63,954.41125,378.49375,125.09,423.93,51.82625,222.55875,180.905,136.3675,-1
1605.6173,3034.6875,373.6525,1508.1808,760.445,243.3575,145.67625,1560.5475,119.165,296.63125,31.6975,53.2,41.88125,1
271.71154,188.36625,233.42125,246.44038,489.83375,1015.0575,741.69625,185.0975,175.1875,81.27125,210.90125,92.3375,89.76,-1
1513.1192,2417.8775,307.655,1773.0865,1270.9688,242.68,226.56625,1392.77,107.96,1224.7325,30.57875,64.1725,73.73,1
118.08269,182.00125,439.79125,132.81923,79.3,889.33875,297.7875,93.28375,669.12625,16.0425,1528.4062,92.73625,80.11875,-1
212.96154,163.60875,100.82,209.46731,229.045,96.875,49.7775,140.63,27.56875,69.1325,171.4525,13.33375,9.76875,1
343.97692,332.36125,391.54375,327.18077,287.23,1097.0188,610.07375,187.595,359.8325,102.75875,76.125,161.68625,143.9975,-1
149.65192,103.42625,231.25,149.42115,102.5075,567.58625,671.71125,105.71625,177.345,85.42625,169.1375,142.9825,71.5825,-1
348.52885,339.77125,245.4375,343.58654,144.40875,284.38375,870.63,236.52125,95.22125,137.65375,213.6275,115.74875,66.21125,-1
289.83077,329.86875,561.215,314.11923,254.69375,1630.5675,1364.6875,215.50125,334.26375,178.57375,370.04,306.46375,220.04375,-1
473.99808,448.47375,396.39875,448.08462,286.0025,674.09625,1729.8888,281.86,313.7975,413.355,114.92375,369.565,159.58625,-1
597.59423,413.325,396.37375,582.27885,241.35625,1110.39,2497.8662,393.58375,403.64,216.26125,326.42625,176.86875,115.2175,-1
739.27308,471.47875,401.59125,765.67692,261.01125,540.6575,948.4075,566.89625,333.64875,664.9625,311.4375,337.84875,93.69875,-1
663.10769,812.82125,394.98625,562.30577,175.815,572.4025,622.75625,306.0025,336.56875,111.43875,186.2775,287.055,107.41125,-1
436.23846,287.17375,385.17375,443.06731,147.2,950.72625,1046.8587,264.90375,183.065,43.5925,131.65875,126.99375,112.94125,-1
472.14615,779.63875,403.96375,683.19423,241.73875,1752.8225,1199.3375,167.89125,268.08875,170.10375,412.135,267.7125,127.94875,-1
364.57885,505.99,187.13375,378.09231,214.0575,716.31375,532.79375,287.45125,247.2375,181.665,284.14625,115.74875,90.8325,-1
287.39808,219.72,405.3875,314.85962,60.5125,1925.4475,705.18875,110.4975,367.8025,30.1975,1178.9188,259.9625,152.015,-1
362.34038,250.28125,215.74125,352.78077,280.29125,855.96625,310.31,180.72875,191.35625,401.69,75.81375,163.91375,109.72125,-1
282.71538,228.02875,641.76875,306.05962,92.3175,1519.5463,702.385,220.48125,275.98,51.14625,1007.5262,347.9825,192.0325,-1
1723.4481,2689.205,338.90375,1881.325,437.01125,253.42625,147.34375,1109.5925,94.71125,1214.4637,36.8675,84.14375,78.095,1
226.8,500.425,422.78,325.65769,201.1475,1005.505,1444.7888,39.38125,330.11125,165.185,227.70625,255.5975,182.1975,-1
196.51154,335.69,252.87125,181.34423,93.0775,451.66,420.28625,84.99375,116.035,182.51875,80.73875,93.0825,50.6775,-1
1263.4038,1765.185,301.0575,1294.0519,543.28625,577.25625,267.50875,449.395,112.2675,480.35625,40.33875,83.3375,121.2025,1
1094.6731,5832.3175,330.08,1334.2173,2161.8975,933.26,843.1575,1550.9112,273.95,2008.5137,76.9875,201.51625,38.14625,1
541.35192,846.975,514.41375,735.91538,302.895,3323.5488,2374.1575,275.6525,569.25875,228.12,1813.4562,219.83875,160.85625,-1
1811.1885,2517.4713,476.2475,1779.6769,1051.7438,845.22375,665.4975,749.4075,235.13625,1494.5875,170.11875,98.79375,89.425,-1
453.28846,867.55,572.93875,605.98462,443.055,3262.495,1723.2425,288.4,614.40125,103.1275,737.695,416.0925,337.645,-1
656.87308,686.53625,1728.1712,586.17308,170.08875,3765.3988,709.86625,182.135,639.59625,99.58,270.19625,332.09625,273.5275,-1
558.24615,1931.1425,173.92,644.66154,481.00875,376.7825,374.12375,328.3675,143.25125,992.03125,55.2,154.7925,45.33875,1
1002.0827,1627.27,189.15,1117.8904,625.8975,301.23,331.095,322.62875,57.41375,590.41375,62.7375,52.74375,57.8025,-1
2570.9596,4642.0637,389.34875,2608.3731,1777.9662,599.97625,371.01625,1063.715,194.36625,2202.9038,238.58625,186.91625,66.94,1
211.98077,754.19,383.57625,194.85577,360.72,619.3775,648.65,85.09375,237.3425,55.1775,97.92,105.88125,44.32125,1
527.05769,1082.3812,886.16875,635.74231,356.83,1380.6812,1800.2062,339.1,662.90875,21.08,247.52625,461.88625,375.8075,-1
392.525,660.1275,562.2425,393.27308,216.845,524.1925,734.22875,183.9575,192.665,76.66125,390.31125,131.5325,139.5725,-1
2307.575,3134.9388,306.1025,2310.2615,580.7275,520.9125,184,935.20375,129.95,1343.4212,113.91375,88.165,80.68375,1
105.08462,221.18375,290.425,99.578846,153.23,912.52,429.48,42.12875,175.7575,148.65875,645.99375,163.5925,48.4525,1
1746.3808,2787.0425,217.1325,1888.5654,371.53625,510.735,311.91625,733.76875,121.93125,697.3275,249.15125,113.66625,75.66875,-1
442.29423,657.41,260.20125,480.74038,248.54125,361.34,269.435,107.52375,166.17625,374.2,117.185,89.64,63.6125,-1
134.11923,175.22875,225.9675,127.38462,114.88,504.62,312.97625,42.74,483.11625,88.56625,104.78125,72.815,47.65,-1
376.50769,966.085,500.27375,443.16154,238.7625,2363.1875,1043.1325,147.19,396.87,83.51375,124.91875,190.51875,142.7525,-1
697.11154,1817.94,135.67625,659.08077,476.195,356.8625,357.18,373.77125,59.48875,887.695,117.6025,67.7375,59.6125,1
191.33846,272.92875,241.5675,220.74808,103.10375,979.5225,997.1875,52.955,176.19,58.4775,519.08125,131.875,63.32125,-1
1240.5846,2699.1925,312.48625,1155.6058,596.045,437.125,477.2625,549.095,167.10875,953.95375,567.13125,125.91375,82.0475,1
